TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Product Name,StoreName,GroupStore,Type,Latitude,Longitude,Age,Gender,Marital Status,Income
TR41645,114,31/03/2022,P6,18000,4,72000,9,Cashew,Lingga,Lingga,Modern Trade,-3.654703,128.190643,22,0,Single,"3,14"
TR48896,114,24/06/2022,P10,15000,5,75000,6,Cheese Stick,Lingga,Lingga,Modern Trade,-5.135399,119.42379,22,0,Single,"3,14"
TR27949,114,25/06/2022,P4,12000,2,24000,6,Potato Chip,Lingga,Lingga,Modern Trade,-5.135399,119.42379,22,0,Single,"3,14"
TR30250,114,09/08/2022,P1,8800,6,52800,11,Choco Bar,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,22,0,Single,"3,14"
TR90300,57,02/02/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,33,1,Married,"6,5"
TR374,57,30/03/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,33,1,Married,"6,5"
TR55166,57,01/04/2022,P8,16000,2,32000,10,Oat,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,33,1,Married,"6,5"
TR94900,57,24/10/2022,P6,18000,3,54000,10,Cashew,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,33,1,Married,"6,5"
TR43385,57,17/09/2022,P4,12000,2,24000,14,Potato Chip,Priangan,Priangan,Modern Trade,-5.45,105.26667,33,1,Married,"6,5"
TR74832,57,25/01/2022,P9,10000,2,20000,4,Yoghurt,Gita Ginara,Gita,General Trade,-6.966667,110.416664,33,1,Married,"6,5"
TR5904,57,26/02/2022,P10,15000,5,75000,4,Cheese Stick,Gita Ginara,Gita,General Trade,-6.966667,110.416664,33,1,Married,"6,5"
TR63415,57,30/03/2022,P5,4200,3,12600,7,Thai Tea,Buana Indah,Buana,General Trade,3.316694,114.590111,33,1,Married,"6,5"
TR41300,57,15/02/2022,P9,10000,7,70000,3,Yoghurt,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,33,1,Married,"6,5"
TR6940,57,07/10/2022,P5,4200,4,16800,6,Thai Tea,Lingga,Lingga,Modern Trade,-5.135399,119.42379,33,1,Married,"6,5"
TR48294,57,10/03/2022,P5,4200,2,8400,11,Thai Tea,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,33,1,Married,"6,5"
TR72053,28,03/02/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,55,0,Married,"6,08"
TR5075,28,17/04/2022,P2,3200,6,19200,10,Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,55,0,Married,"6,08"
TR86251,28,22/10/2022,P8,16000,1,16000,14,Oat,Priangan,Priangan,Modern Trade,-5.45,105.26667,55,0,Married,"6,08"
TR74879,28,05/02/2022,P5,4200,4,16800,4,Thai Tea,Gita Ginara,Gita,General Trade,-6.966667,110.416664,55,0,Married,"6,08"
TR8161,28,07/10/2022,P5,4200,3,12600,4,Thai Tea,Gita Ginara,Gita,General Trade,-6.966667,110.416664,55,0,Married,"6,08"
TR2385,28,11/05/2022,P10,15000,4,60000,9,Cheese Stick,Lingga,Lingga,Modern Trade,-3.654703,128.190643,55,0,Married,"6,08"
TR9420,28,12/01/2022,P8,16000,3,48000,9,Oat,Lingga,Lingga,Modern Trade,-3.654703,128.190643,55,0,Married,"6,08"
TR99580,28,23/08/2022,P10,15000,4,60000,13,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825264,55,0,Married,"6,08"
TR99305,28,08/04/2022,P6,18000,2,36000,5,Cashew,Bonafid,Gita,General Trade,-7.250445,112.768845,55,0,Married,"6,08"
TR3908,28,09/08/2022,P10,15000,1,15000,1,Cheese Stick,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,55,0,Married,"6,08"
TR70798,428,04/02/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,60,1,Married,"4,49"
TR26926,428,12/04/2022,P5,4200,5,21000,12,Thai Tea,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,60,1,Married,"4,49"
TR75594,428,26/10/2022,P5,4200,5,21000,12,Thai Tea,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,60,1,Married,"4,49"
TR87911,428,22/02/2022,P2,3200,5,16000,12,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,60,1,Married,"4,49"
TR61837,428,13/10/2022,P10,15000,2,30000,14,Cheese Stick,Priangan,Priangan,Modern Trade,-5.45,105.26667,60,1,Married,"4,49"
TR38698,428,03/06/2022,P9,10000,5,50000,4,Yoghurt,Gita Ginara,Gita,General Trade,-6.966667,110.416664,60,1,Married,"4,49"
TR34848,428,28/08/2022,P5,4200,5,21000,4,Thai Tea,Gita Ginara,Gita,General Trade,-6.966667,110.416664,60,1,Married,"4,49"
TR58197,428,08/11/2022,P3,7500,5,37500,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,60,1,Married,"4,49"
TR59552,428,01/04/2022,P4,12000,3,36000,13,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825264,60,1,Married,"4,49"
TR28689,428,08/09/2022,P10,15000,2,30000,6,Cheese Stick,Lingga,Lingga,Modern Trade,-5.135399,119.42379,60,1,Married,"4,49"
TR61464,231,20/02/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,1,Married,"16,59"
TR4732,231,26/06/2022,P4,12000,4,48000,12,Potato Chip,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,1,Married,"16,59"
TR6321,231,28/09/2022,P3,7500,1,7500,10,Crackers,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,51,1,Married,"16,59"
TR91952,231,03/09/2022,P10,15000,5,75000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,51,1,Married,"16,59"
TR23125,231,15/05/2022,P5,4200,2,8400,14,Thai Tea,Priangan,Priangan,Modern Trade,-5.45,105.26667,51,1,Married,"16,59"
TR24859,231,09/02/2022,P9,10000,5,50000,3,Yoghurt,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,51,1,Married,"16,59"
TR22474,231,14/01/2022,P3,7500,2,15000,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,51,1,Married,"16,59"
TR22563,231,27/10/2022,P2,3200,5,16000,8,Ginger Candy ,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,51,1,Married,"16,59"
TR84714,231,24/04/2022,P3,7500,1,7500,9,Crackers,Lingga,Lingga,Modern Trade,-3.654703,128.190643,51,1,Married,"16,59"
TR69381,231,25/04/2022,P2,3200,3,9600,13,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825264,51,1,Married,"16,59"
TR38700,231,09/07/2022,P6,18000,1,18000,6,Cashew,Lingga,Lingga,Modern Trade,-5.135399,119.42379,51,1,Married,"16,59"
TR85613,231,13/11/2022,P9,10000,7,70000,11,Yoghurt,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,51,1,Married,"16,59"
TR49836,231,24/03/2022,P4,12000,5,60000,5,Potato Chip,Bonafid,Gita,General Trade,-7.250445,112.768845,51,1,Married,"16,59"
TR84912,231,02/08/2022,P3,7500,3,22500,1,Crackers,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,51,1,Married,"16,59"
TR62868,231,14/06/2022,P8,16000,1,16000,1,Oat,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,51,1,Married,"16,59"
TR26577,435,27/02/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,29,1,Married,"3,61"
TR17567,435,28/09/2022,P9,10000,6,60000,12,Yoghurt,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,29,1,Married,"3,61"
TR65394,435,25/06/2022,P7,9400,5,47000,12,Coffee Candy,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,29,1,Married,"3,61"
TR89153,435,30/09/2022,P2,3200,6,19200,12,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,29,1,Married,"3,61"
TR81183,435,27/10/2022,P10,15000,1,15000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,29,1,Married,"3,61"
TR91783,435,26/10/2022,P6,18000,1,18000,14,Cashew,Priangan,Priangan,Modern Trade,-5.45,105.26667,29,1,Married,"3,61"
TR68248,435,10/08/2022,P5,4200,5,21000,8,Thai Tea,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,29,1,Married,"3,61"
TR77859,435,17/02/2022,P9,10000,5,50000,9,Yoghurt,Lingga,Lingga,Modern Trade,-3.654703,128.190643,29,1,Married,"3,61"
TR3316,435,21/01/2022,P7,9400,5,47000,13,Coffee Candy,Buana,Buana,General Trade,-1.26916,116.825264,29,1,Married,"3,61"
TR15630,435,11/06/2022,P4,12000,2,24000,6,Potato Chip,Lingga,Lingga,Modern Trade,-5.135399,119.42379,29,1,Married,"3,61"
TR83612,435,06/02/2022,P5,4200,4,16800,5,Thai Tea,Bonafid,Gita,General Trade,-7.250445,112.768845,29,1,Married,"3,61"
TR20992,435,27/08/2022,P9,10000,7,70000,1,Yoghurt,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,29,1,Married,"3,61"
TR93040,346,01/03/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,62,0,Married,"5,08"
TR97998,346,02/03/2022,P3,7500,1,7500,10,Crackers,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,62,0,Married,"5,08"
TR51576,346,11/11/2022,P8,16000,2,32000,10,Oat,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,62,0,Married,"5,08"
TR73408,346,06/02/2022,P3,7500,1,7500,14,Crackers,Priangan,Priangan,Modern Trade,-5.45,105.26667,62,0,Married,"5,08"
TR33436,346,31/03/2022,P2,3200,3,9600,14,Ginger Candy ,Priangan,Priangan,Modern Trade,-5.45,105.26667,62,0,Married,"5,08"
TR13038,346,05/04/2022,P1,8800,9,79200,2,Choco Bar,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,62,0,Married,"5,08"
TR63554,346,19/05/2022,P8,16000,1,16000,9,Oat,Lingga,Lingga,Modern Trade,-3.654703,128.190643,62,0,Married,"5,08"
TR76574,346,31/10/2022,P10,15000,5,75000,13,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825264,62,0,Married,"5,08"
TR45362,346,15/09/2022,P3,7500,2,15000,11,Crackers,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,62,0,Married,"5,08"
TR38909,285,04/03/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,20,0,Single,0
TR45350,285,10/08/2022,P9,10000,1,10000,12,Yoghurt,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,20,0,Single,0
TR32940,285,25/05/2022,P5,4200,5,21000,12,Thai Tea,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,20,0,Single,0
TR28937,285,18/07/2022,P3,7500,6,45000,10,Crackers,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,20,0,Single,0
TR61555,285,26/06/2022,P10,15000,1,15000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,20,0,Single,0
TR9566,285,18/08/2022,P2,3200,3,9600,8,Ginger Candy ,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,20,0,Single,0
TR9020,285,24/04/2022,P10,15000,1,15000,13,Cheese Stick,Buana,Buana,General Trade,-1.26916,116.825264,20,0,Single,0
TR90663,285,24/03/2022,P7,9400,4,37600,13,Coffee Candy,Buana,Buana,General Trade,-1.26916,116.825264,20,0,Single,0
TR87917,285,07/06/2022,P2,3200,5,16000,13,Ginger Candy ,Buana,Buana,General Trade,-1.26916,116.825264,20,0,Single,0
TR13,285,03/01/2022,P8,16000,1,16000,6,Oat,Lingga,Lingga,Modern Trade,-5.135399,119.42379,20,0,Single,0
TR31256,285,01/03/2022,P5,4200,5,21000,11,Thai Tea,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,20,0,Single,0
TR16565,285,07/02/2022,P7,9400,3,28200,11,Coffee Candy,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,20,0,Single,0
TR17282,285,03/06/2022,P5,4200,3,12600,5,Thai Tea,Bonafid,Gita,General Trade,-7.250445,112.768845,20,0,Single,0
TR78728,258,07/03/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,0,Married,"12,57"
TR10973,258,09/11/2022,P10,15000,5,75000,12,Cheese Stick,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,0,Married,"12,57"
TR19590,258,20/01/2022,P6,18000,2,36000,12,Cashew,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,0,Married,"12,57"
TR57386,258,11/11/2022,P2,3200,4,12800,14,Ginger Candy ,Priangan,Priangan,Modern Trade,-5.45,105.26667,51,0,Married,"12,57"
TR64486,258,08/07/2022,P3,7500,1,7500,6,Crackers,Lingga,Lingga,Modern Trade,-5.135399,119.42379,51,0,Married,"12,57"
TR98000,258,04/04/2022,P1,8800,9,79200,6,Choco Bar,Lingga,Lingga,Modern Trade,-5.135399,119.42379,51,0,Married,"12,57"
TR3677,258,05/02/2022,P4,12000,2,24000,6,Potato Chip,Lingga,Lingga,Modern Trade,-5.135399,119.42379,51,0,Married,"12,57"
TR74868,258,13/05/2022,P5,4200,3,12600,5,Thai Tea,Bonafid,Gita,General Trade,-7.250445,112.768845,51,0,Married,"12,57"
TR70266,258,14/11/2022,P2,3200,3,9600,5,Ginger Candy ,Bonafid,Gita,General Trade,-7.250445,112.768845,51,0,Married,"12,57"
TR41225,336,16/03/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,0,Single,"10,84"
TR23073,336,08/11/2022,P2,3200,4,12800,12,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,51,0,Single,"10,84"
TR55115,336,15/06/2022,P3,7500,4,30000,10,Crackers,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,51,0,Single,"10,84"
TR54004,336,11/02/2022,P3,7500,4,30000,4,Crackers,Gita Ginara,Gita,General Trade,-6.966667,110.416664,51,0,Single,"10,84"
TR96435,336,21/06/2022,P10,15000,1,15000,4,Cheese Stick,Gita Ginara,Gita,General Trade,-6.966667,110.416664,51,0,Single,"10,84"
TR9215,336,14/10/2022,P10,15000,5,75000,4,Cheese Stick,Gita Ginara,Gita,General Trade,-6.966667,110.416664,51,0,Single,"10,84"
TR21978,336,30/10/2022,P10,15000,4,60000,7,Cheese Stick,Buana Indah,Buana,General Trade,3.316694,114.590111,51,0,Single,"10,84"
TR15472,336,04/09/2022,P6,18000,1,18000,3,Cashew,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,51,0,Single,"10,84"
TR23402,336,26/05/2022,P4,12000,3,36000,8,Potato Chip,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,51,0,Single,"10,84"
TR15275,336,02/05/2022,P1,8800,4,35200,9,Choco Bar,Lingga,Lingga,Modern Trade,-3.654703,128.190643,51,0,Single,"10,84"
TR38619,336,07/04/2022,P10,15000,2,30000,9,Cheese Stick,Lingga,Lingga,Modern Trade,-3.654703,128.190643,51,0,Single,"10,84"
